file,has_yaml,missing,title_current,title_h1,title_proposed,tags_count,tags_over_limit,status_current,status_proposed,created_current,created_proposed,updated_current,updated_proposed,aliases_count,source_count,issues
notes\MK\10_research\Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,yes,status updated,Findings from a pilot Anthropic–OpenAI alignment evaluation exercise: OpenAI Safety Tests,導入,,5,no,,draft,2025-08-29,,,2025-09-06,0,0,
notes\MK\10_research\Fix grammar and spelling.md,yes,title status created updated,,,Fix grammar and spelling,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Generate table of contents.md,yes,title status created updated,,,Generate table of contents,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
"notes\MK\10_research\GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md",yes,status updated,"GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti","GPT, Gemini, Claude使い分け2025年9月初めバージョン",,5,no,,draft,2025-09-04,,,2025-09-06,0,0,
notes\MK\10_research\kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,yes,status updated,kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い,,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\Make longer.md,yes,title status created updated,,,Make longer,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Make shorter.md,yes,title status created updated,,,Make shorter,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\MOD文化とMODツールの使用について.md,yes,status updated,MOD文化とMODツールの使用について,トピックス,,5,no,,draft,2025-08-29,,,2025-09-06,0,0,
notes\MK\10_research\Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,yes,status updated,Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin,Obsidian×Cursorの活用方法：知的生産のシナジーを最大化,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,yes,status updated,Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者,Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\Rewrite as tweet thread.md,yes,title status created updated,,,Rewrite as tweet thread,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Rewrite as tweet.md,yes,title status created updated,,,Rewrite as tweet,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\RTA in Japan 2025年夏.md,yes,status updated,RTA in Japan 2025年夏,2025年夏季 日本におけるRTA,,5,no,,draft,2025-07-02,,,2025-09-06,0,0,
notes\MK\10_research\Simplify.md,yes,title status created updated,,,Simplify,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\SNSショート動画バズり徹底分析.md,yes,title status created updated,,,SNSショート動画バズり徹底分析,1,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\10_research\Sora用映像生成プロンプトテンプレート（英語）.md,yes,title status created updated,,🎥 Sora用映像生成プロンプトテンプレート（英語）,🎥 Sora用映像生成プロンプトテンプレート（英語）,5,no,,draft,,2025-07-02,,2025-09-06,0,0,
notes\MK\10_research\Summarize.md,yes,title status created updated,,,Summarize,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\TikTok ASMR動画企画.md,yes,title status created updated,,引用文献,引用文献,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Translate to Chinese.md,yes,title status created updated,,,Translate to Chinese,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Veo用映像生成プロンプトテンプレート（英語）.md,yes,title status created updated,,🎥 Veo用映像生成プロンプトテンプレート（英語）,🎥 Veo用映像生成プロンプトテンプレート（英語）,5,no,,draft,,2025-07-02,,2025-09-06,0,0,
notes\MK\10_research\「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,yes,status updated,「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ,はじめに,,5,no,,draft,2025-07-08,,,2025-09-06,0,0,
notes\MK\10_research\【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,yes,status updated,【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！,,,5,no,,draft,2025-07-13,,,2025-09-06,0,0,
notes\MK\10_research\【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,yes,status updated,【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所,【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,yes,status updated,【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介,【第1弾】,,5,no,,draft,2025-08-31,,,2025-09-06,0,0,
notes\MK\10_research\【必見】改良版まじん式プロンプト！｜まじん.md,yes,status updated,"【必見】""改良版""まじん式プロンプト！｜まじん","【必見】""改良版""まじん式プロンプト！",,4,no,,draft,2025-08-29,,,2025-09-06,0,0,
notes\MK\10_research\もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,yes,status updated,もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）,セッションの概要,,5,no,,draft,2025-09-01,,,2025-09-06,0,0,
notes\MK\10_research\ランドーズ 池袋東口駅前店 （LANDooZ）のご予約 - 池袋居酒屋  食べログ.md,yes,title status created updated,,NEW OPEN◆池袋駅1分◆肉料理や世界のクラフトビールが楽しめる大人の隠れ家。個室あり◎,NEW OPEN◆池袋駅1分◆肉料理や世界のクラフトビールが楽しめる大人の隠れ家。個室あり◎,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\個人開発で月20万円を目指すための考え方.md,yes,status updated,個人開発で月20万円を目指すための考え方,開発したアプリ,,5,no,,draft,2025-09-01,,,2025-09-06,0,0,
notes\MK\10_research\内観写真   昔ばなし 別館 （ムカシバナシ） - 池袋居酒屋  食べログ.md,yes,title status created updated,,店舗基本情報,店舗基本情報,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ.md,yes,status updated,地図 : 立喰い寿司 あきら - 新橋/立ち食い寿司 | 食べログ,,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,yes,title status created updated,,,採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\10_research\日本国内SNSトレンド分析レポート.md,yes,title status created updated,,日本国内SNSトレンド分析レポート：TikTok・X・Instagramの最新動向と動画制作への応用戦略,日本国内SNSトレンド分析レポート：TikTok・X・Instagramの最新動向と動画制作への応用戦略,6,yes,,draft,,2025-06-29,,2025-09-06,0,0,tags_over_limit:6
notes\MK\10_research\最短版プロンプト（埋め済み・コピペ用）.md,yes,title status created updated,,,最短版プロンプト（埋め済み・コピペ用）,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\10_research\焼鶏 吉川のご予約 - 代々木焼き鳥  食べログ.md,yes,title status created updated,,代々木駅1分◆すべて、手作りです！あったかい居酒屋さん！,代々木駅1分◆すべて、手作りです！あったかい居酒屋さん！,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\科学的にわかってきた、運がいい人の正体.md,yes,status updated,科学的にわかってきた、運がいい人の正体,科学が証明した「運を作る思い込み」,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,yes,status updated,角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」,,,5,no,,draft,2025-08-28,,,2025-09-06,0,0,
notes\MK\10_research\解像度を上げる 🔬.md,yes,status updated,解像度を上げる 🔬,馬田隆明 / 馬田隆明,,5,no,,draft,2025-08-29,,,2025-09-06,0,0,
notes\MK\10_research\詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,yes,title status created updated,,,詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\10_research\調査チェックリスト.md,yes,title status created updated,,調査チェックリスト（個人向け・Obsidian/Notion固有の確認観点）,調査チェックリスト（個人向け・Obsidian/Notion固有の確認観点）,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\20_notes\90kg→70kg_減量計画.md,yes,title status created updated,,減量計画全体概要（90kg → 70kg）,減量計画全体概要（90kg → 70kg）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\ASMR改良版プロンプト.md,yes,title status created updated,,🍇 ASMR動画プロンプト（果物10種 × 改良版構成）,🍇 ASMR動画プロンプト（果物10種 × 改良版構成）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\ASMR改良版プロンプト用ハッシュタグ.md,yes,title status created updated,,🎬 TikTok投稿テンプレート（タイトル＋ハッシュタグ）,🎬 TikTok投稿テンプレート（タイトル＋ハッシュタグ）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\DeNAの「AIにオールイン」.md,yes,title status created updated,,DeNAにおけるAI活用最前線,DeNAにおけるAI活用最前線,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\prompt-eval-template.md,yes,title status created updated,,📊 プロンプト評価テンプレート,📊 プロンプト評価テンプレート,5,no,,draft,"<% tp.date.now(""YYYY-MM-DD"") %>",2025-07-01,,2025-09-06,0,0,
notes\MK\20_notes\sora_mechanical_mineral_fruits.md,yes,title status created updated,,🔧 Sora用プロンプト集 – 機械果物 & 鉱物果物（6種）,🔧 Sora用プロンプト集 – 機械果物 & 鉱物果物（6種）,5,no,,draft,,2025-07-02,,2025-09-06,0,0,
notes\MK\20_notes\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,yes,title status created updated,,ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）,ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\ダイエット計画_Kanban_Phase1_2.md.md,yes,title status created updated,,📅 Phase 1：導入期（週1〜4）,📅 Phase 1：導入期（週1〜4）,5,no,,draft,,2025-06-30,,2025-09-06,0,0,
notes\MK\20_notes\ダイエット計画プロンプト_v2.md,yes,title status created updated,,ダイエット計画プロンプト v2（プロンプトエンジニアリング最適化版）,ダイエット計画プロンプト v2（プロンプトエンジニアリング最適化版）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\20_notes\出力レイアウト仕様（Markdown）.md,yes,title status created updated,,TL;DR,TL;DR,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\30_projects\README.md,yes,title status created updated,,"ffxiv-return-agent (Windows 11-friendly skeleton, .NET 8)","ffxiv-return-agent (Windows 11-friendly skeleton, .NET 8)",5,no,,draft,,2025-08-17,,2025-09-06,0,0,
notes\MK\40_prompts\Crystal Fruit ASMR Prompt Collection.md,yes,title status created updated,,🍎 Crystal Fruit ASMR Prompt Collection,🍎 Crystal Fruit ASMR Prompt Collection,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\crystal_fruit_prompts (1).md,yes,title status created updated,,Crystal Strawberry,Crystal Strawberry,5,no,,draft,,2025-07-05,,2025-09-06,0,0,
notes\MK\40_prompts\cyber_crystal_food_prompts 1.md,yes,title status created updated,,1. Neon Seaweed Ramen – Spiral Vortex Loop,1. Neon Seaweed Ramen – Spiral Vortex Loop,5,no,,draft,,2025-07-08,,2025-09-06,0,0,
notes\MK\40_prompts\cyber_crystal_food_v2_all_1to10.md,yes,title status created updated,,2. Cyber Wasabi Gyoza – Reactor Core Bloom (v2),2. Cyber Wasabi Gyoza – Reactor Core Bloom (v2),5,no,,draft,,2025-07-08,,2025-09-06,0,0,
notes\MK\40_prompts\tiktok動画生成プロンプト1️⃣.md,yes,title status created updated,,,tiktok動画生成プロンプト1️⃣,5,no,,draft,,2025-06-30,,2025-09-06,0,0,
notes\MK\40_prompts\TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,yes,title status created updated,,🎬 TikTok投稿用コンテンツ自動生成プロンプト V4（ASMR / クリスタル果物）,🎬 TikTok投稿用コンテンツ自動生成プロンプト V4（ASMR / クリスタル果物）,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\★Prompt Create Prompt.md,yes,title status created updated,,回答例（TikTokでバズを狙うAI動画プロンプト生成用）,回答例（TikTokでバズを狙うAI動画プロンプト生成用）,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\クリスタル果物切断ASMR動画生成プロンプト.md,yes,title status created updated,,🎯 目的,🎯 目的,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\動画生成プロンプト(meta3).md,yes,title status created updated,,🎯 あなたの目的：,🎯 あなたの目的：,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\映像生成ツール向けプロンプト.md,yes,title status created updated,,🎥 英語プロンプト（映像生成ツール向け）,🎥 英語プロンプト（映像生成ツール向け）,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\40_prompts\深堀りprompt.md,yes,title status created updated,,,深堀りprompt,5,no,,draft,,2025-06-30,,2025-09-06,0,0,
notes\MK\50_code\ChatGPT 出力 Obsidian 保存.md,yes,title status created updated,,✅ 目的,✅ 目的,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\50_code\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,yes,status updated,Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer,Claude Code HooksとGemini CLIで始めるAIパイプライン実行,,5,no,,draft,2025-07-06,,,2025-09-06,0,0,
notes\MK\50_code\Codex CLIを使いこなすための機能・設定まとめ.md,yes,status updated,Codex CLIを使いこなすための機能・設定まとめ,はじめに,,5,no,,draft,2025-09-04,,,2025-09-06,0,0,
notes\MK\50_code\crystal_fruit_prompts.md,yes,title status created updated,,,crystal_fruit_prompts,3,no,,draft,,2025-07-05,,2025-09-06,0,0,
notes\MK\50_code\crystal_fruit_prompts_v5.md,yes,title status created updated,,🎥 英語プロンプト – Crystal Lemon,🎥 英語プロンプト – Crystal Lemon,3,no,,draft,,2025-07-05,,2025-09-06,0,0,
notes\MK\50_code\Crystal_Video_Prompts_Veo.md,yes,title status created updated,,,Crystal_Video_Prompts_Veo,3,no,,draft,,2025-07-05,,2025-09-06,0,0,
notes\MK\50_code\CrystalFruit_ASMR_Prompts_Veo (1).md,yes,title status created updated,,🍎 Crystal Fruit ASMR Prompts for Veo,🍎 Crystal Fruit ASMR Prompts for Veo,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\50_code\Dashboard.md,no,title tags status created updated,,Dashboard (MK Vault),Dashboard (MK Vault),0,no,,draft,,2025-09-06,,2025-09-06,0,0,no_yaml
notes\MK\50_code\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,yes,title status created updated,,**1.0 PRIMARY\_OBJECTIVE — 最終目標**,**1.0 PRIMARY\_OBJECTIVE — 最終目標**,5,no,,draft,,2025-08-17,,2025-09-06,0,0,
notes\MK\50_code\Gemini CLI.md,yes,title status created updated,,Gemini CLIとは何か、その背景と競合,Gemini CLIとは何か、その背景と競合,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\50_code\Generate glossary.md,yes,title status created updated,,,Generate glossary,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\50_code\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,yes,status updated,o3 MCPでClaude Codeが最強の検索力を手に入れた,登録方法,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\50_code\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,yes,status updated,ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド,はじめに,,5,no,,draft,2025-07-02,,,2025-09-06,0,0,
notes\MK\50_code\Remove URLs.md,yes,title status created updated,,,Remove URLs,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\50_code\sora_crystal_fruits_prompts.md,yes,title status created updated,,🍇 Sora用クリスタル果物プロンプト集（20種）,🍇 Sora用クリスタル果物プロンプト集（20種）,5,no,,draft,,2025-07-02,,2025-09-06,0,0,
notes\MK\50_code\tiktok asmrキャプション集.md,yes,title status created updated,,🎬 TikTok ASMR動画スクリプト + キャプション集（ガラス果物）,🎬 TikTok ASMR動画スクリプト + キャプション集（ガラス果物）,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\50_code\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,yes,status updated,【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん,【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\50_code\先輩社員がどうやって不具合を解決しているのか 1.md,yes,status updated,先輩社員がどうやって不具合を解決しているのか,自己紹介,,5,no,,draft,2025-08-29,,,2025-09-06,0,0,
notes\MK\50_code\新Codex CLIの使い方.md,yes,status updated,新Codex CLIの使い方,サブスクリプションの制限,,5,no,,draft,2025-09-05,,,2025-09-06,0,0,
notes\MK\50_code\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,yes,status updated,非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ | AI駆動PM,非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
