file,current_folder,proposed_folder,action,confidence,reasons
notes\MK\chatgpt\pronmpts_output\Crystal Fruit ASMR Prompt Collection.md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts (1).md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts.md,,50_code,move,2.50,"codeblocks>=2,path:prompts"
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts_v5.md,,50_code,move,2.50,"codeblocks>=2,path:prompts"
notes\MK\chatgpt\pronmpts_output\Crystal_Video_Prompts_Veo.md,,50_code,move,4.00,"codeblocks>=2,dev-terms,path:prompts"
notes\MK\chatgpt\pronmpts_output\CrystalFruit_ASMR_Prompts_Veo (1).md,,50_code,move,2.50,"codeblocks>=2,path:prompts"
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_prompts 1.md,,40_prompts,move,1.50,"dev-terms,essayish,path:prompts"
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_v2_all_1to10.md,,40_prompts,move,1.50,"dev-terms,essayish,path:prompts"
notes\MK\chatgpt\Sora_prompt_output\sora_crystal_fruits_prompts.md,,50_code,move,1.50,"dev-terms,essayish"
notes\MK\chatgpt\Sora_prompt_output\sora_mechanical_mineral_fruits.md,,20_notes,move,1.00,essayish
notes\MK\chatgpt\Template\prompt-eval-template.md,,20_notes,move,1.00,essayish
notes\MK\chatgpt\Template\Sora用映像生成プロンプトテンプレート（英語）.md,,10_research,move,0.00,
notes\MK\chatgpt\Template\Veo用映像生成プロンプトテンプレート（英語）.md,,10_research,move,0.00,
notes\MK\Clippings\2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,,50_code,move,2.50,"tag:code,urls>=3"
notes\MK\Clippings\Codex CLIを使いこなすための機能・設定まとめ.md,,50_code,move,6.50,"tag:code,codeblocks>=2,dev-terms,urls>=3"
notes\MK\Clippings\FF14総合分析と戦略考察.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,,10_research,move,2.00,"dev-terms,urls>=3"
notes\MK\Clippings\Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,,10_research,move,2.00,"dev-terms,urls>=3"
"notes\MK\Clippings\GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md",,10_research,move,2.00,urls>=3
notes\MK\Clippings\kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\MOD文化とMODツールの使用について.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,,50_code,move,5.00,"tag:code,codeblocks>=2,urls>=3"
notes\MK\Clippings\Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\RTA in Japan 2025年夏.md,,10_research,move,0.00,
notes\MK\Clippings\「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,,50_code,move,2.50,"codeblocks>=2,urls>=3"
notes\MK\Clippings\【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,,10_research,move,2.00,"dev-terms,urls>=3"
notes\MK\Clippings\【必見】改良版まじん式プロンプト！｜まじん.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\個人開発で月20万円を目指すための考え方.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\先輩社員がどうやって不具合を解決しているのか 1.md,,50_code,move,2.50,"codeblocks>=2,urls>=3"
notes\MK\Clippings\新Codex CLIの使い方.md,,50_code,move,4.00,"codeblocks>=2,dev-terms,urls>=3"
notes\MK\Clippings\角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,,10_research,move,0.00,
notes\MK\Clippings\解像度を上げる 🔬.md,,10_research,move,2.00,urls>=3
notes\MK\Clippings\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,,50_code,move,2.50,"codeblocks>=2,urls>=3"
notes\MK\copilot-custom-prompts\Emojify.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Explain like I am 5.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Fix grammar and spelling.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Generate glossary.md,,50_code,move,1.50,dev-terms
notes\MK\copilot-custom-prompts\Generate table of contents.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Make longer.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Make shorter.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Remove URLs.md,,50_code,move,1.50,dev-terms
notes\MK\copilot-custom-prompts\Rewrite as tweet thread.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Rewrite as tweet.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Simplify.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Summarize.md,,10_research,move,0.00,
notes\MK\copilot-custom-prompts\Translate to Chinese.md,,10_research,move,0.00,
notes\MK\daily\2025-05-01.md,,10_research,move,0.00,
notes\MK\daily\2025-06-29.md,,10_research,move,0.00,
notes\MK\daily\2025-06-30.md,,10_research,move,0.00,
notes\MK\daily\2025-07-01.md,,10_research,move,0.00,
notes\MK\daily\2025-13-01.md,,10_research,move,0.00,
notes\MK\Dashboard.md,,50_code,move,4.00,"codeblocks>=2,dev-terms"
notes\MK\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,,50_code,move,4.00,"codeblocks>=2,dev-terms,urls>=3"
notes\MK\iPhoneClip\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,,50_code,move,2.50,"codeblocks>=2,urls>=3"
notes\MK\iPhoneClip\科学的にわかってきた、運がいい人の正体.md,,10_research,move,2.00,urls>=3
notes\MK\README.md,,30_projects,move,3.00,"dev-terms,readme/projects-folder,essayish"
notes\MK\restaurant\ランドーズ 池袋東口駅前店 （LANDooZ）のご予約 - 池袋居酒屋  食べログ.md,,10_research,move,2.00,urls>=3
notes\MK\restaurant\内観写真   昔ばなし 別館 （ムカシバナシ） - 池袋居酒屋  食べログ.md,,10_research,move,2.00,urls>=3
notes\MK\restaurant\地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ.md,,10_research,move,2.00,urls>=3
notes\MK\restaurant\焼鶏 吉川のご予約 - 代々木焼き鳥  食べログ.md,,10_research,move,2.00,urls>=3
notes\MK\textgenerator\configs\llm\config_6-29135137.json.md,,10_research,move,0.00,
notes\MK\減量\90kg→70kg_減量計画.md,,20_notes,move,1.00,essayish
notes\MK\減量\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,,20_notes,move,1.00,essayish
notes\MK\減量\ダイエット計画_Kanban_Phase1_2.md.md,,20_notes,move,1.00,essayish
notes\MK\調査チェックリスト.md,,10_research,move,0.00,
