file,status,before_yaml_tags,inline_tags,keywords_top,after_tags
notes\MK\chatgpt\deepresearch\deepresearch向け検索クエリ例.md,unchanged,notion obsidian limitations personal site,,notion obsidian limitations personal site sync aes database developer encryption,notion obsidian limitations personal site
notes\MK\chatgpt\deepresearch\出力レイアウト仕様（Markdown）.md,unchanged,オフライン データコントロール バックアップ プライバシー リスク,,オフライン データコントロール バックアップ プライバシー リスク ロックイン iphone jpy windows アクション,オフライン データコントロール バックアップ プライバシー リスク
notes\MK\chatgpt\deepresearch\採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,unchanged,null score ecosystem fit longevity,,null score ecosystem fit longevity offline performance portability pricing privacy,null score ecosystem fit longevity
notes\MK\chatgpt\deepresearch\最短版プロンプト（埋め済み・コピペ用）.md,unchanged,エクスポート iphone windows オフライン プライバシー,,エクスポート iphone windows オフライン プライバシー ロックイン e2ee markdown notion obsidian,エクスポート iphone windows オフライン プライバシー
notes\MK\chatgpt\deepresearch\詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,unchanged,name weight オフライン jpy エクスポート,,name weight オフライン jpy エクスポート エコシステム プライバシー メモ ロックイン have,name weight オフライン jpy エクスポート
notes\MK\chatgpt\ideas\ChatGPT 出力 Obsidian 保存.md,updated,chatgpt obsidian プロンプト` 方法 プロンプト,chatgpt obsidian プロンプト`,chatgpt obsidian プロンプト 方法 markdown テンプレート notion ブラウザ と連携する方法 に直接保存する拡張機能,chatgpt obsidian プロンプト` プロンプト 方法
notes\MK\chatgpt\ideas\ダイエット計画プロンプト_v2.md,updated,プラン markdown グ最適化版 ダイエット ダイエット計画プロンプト,,ダイエット プラン markdown プロンプト グ最適化版 ダイエット計画プロンプト フォーマット プロファイル プロンプトエンジニアリン プロンプトエンジニアリング,ダイエット プラン markdown プロンプト グ最適化版
notes\MK\chatgpt\pronmpts\tiktok動画生成プロンプト1️⃣.md,updated,perfectloopchallenge video examples viewer visual,perfectloopchallenge,video viewer visual asmr explicit intriguing visually audio clearly engagement,perfectloopchallenge video viewer visual asmr
notes\MK\chatgpt\pronmpts\TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,unchanged,asmr fruitcut glassfruit slowmotion macroshot,asmr fruitcut glassfruit slowmotion macroshot glassslicing oddlysatisfying soothing zokutto mysteryfeeling fruitasmr asmrjapan satisfyingslice mysterycut,タイトル asmr glassfruit tiktok ハッシュタグ macroshot キャプション プロンプト obsidian oddlysatisfying,asmr fruitcut glassfruit slowmotion macroshot
notes\MK\chatgpt\pronmpts\★Prompt Create Prompt.md,updated,プロンプト tiktok バズ でバズを狙う タスク,,プロンプト tiktok バズ タスク でバズを狙う プロ 動画プロンプト生成用 回答例 asmr アイデア,プロンプト tiktok バズ タスク でバズを狙う
notes\MK\chatgpt\pronmpts\クリスタル果物切断ASMR動画生成プロンプト.md,unchanged,️⃣ プロンプト アングル asmr seconds,️⃣,プロンプト アングル asmr seconds いずれか選択 への記述に含める めること タイムライン タイムライン構成 テンプレート,️⃣ プロンプト アングル asmr seconds
notes\MK\chatgpt\pronmpts\動画生成プロンプト(meta3).md,unchanged,️⃣ テンプレート プロンプト あなたの目的 この形式で出力してくださ,️⃣,テンプレート プロンプト あなたの目的 この形式で出力してくださ に表示される情報ではあり ません コメント ユーザー ユーザー入力 ループ,️⃣ テンプレート プロンプト あなたの目的 この形式で出力してくださ
notes\MK\chatgpt\pronmpts\映像生成ツール向けプロンプト.md,unchanged,️⃣ neonasmr satisfyingcut looptherapy macrovision,️⃣ neonasmr satisfyingcut looptherapy macrovision reversesculpture,one プロンプト neon キャプション キャプション案 タイトル タイトル案 ツール ハッシュタグ ハッシュタグ案,️⃣ neonasmr satisfyingcut looptherapy macrovision
notes\MK\chatgpt\pronmpts\深堀りprompt.md,unchanged,2 1〜 5)完全に繰り返してください。 web クエリ,2 1〜 5)完全に繰り返してください。,web クエリ ラウンド ギャップ コンパクト サイクル リスト,2 1〜 5)完全に繰り返してください。 web クエリ
notes\MK\chatgpt\pronmpts_output\Crystal Fruit ASMR Prompt Collection.md,unchanged,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut glassart crystallemon macroasmr fruitcutting glassslice visualloop crystalpeach glassfruit asmrmacro zencut obsidianslice glasskiwi macrosatisfying asmrart fruitloop visualchime crystalpineapple loopcut fruitglow asmrslice ringart crystalmelon watermelonasmr cuttingloop visualzen crystalorange goldenfruit macroslice zenart loopvisual crystalberry blueglassfruit loopcalm crystalstrawberry glasscutting macroloop visualsatisfying crystalfig fractalcut visualfruit asmrloop obsidianblade,crystal macro prompt タイトル ハッシュタグ chime blade black cut fruit,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts (1).md,unchanged,crystal camera core loop animation,,crystal camera core loop animation macro black glowing breakdown composition,crystal camera core loop animation
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts.md,updated,chatgpt output pronmpts tags,,chatgpt output pronmpts,chatgpt output pronmpts
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts_v5.md,updated,chatgpt output pronmpts tags,,chatgpt output pronmpts,chatgpt output pronmpts
notes\MK\chatgpt\pronmpts_output\Crystal_Video_Prompts_Veo.md,updated,chatgpt output pronmpts tags,,chatgpt output pronmpts,chatgpt output pronmpts
notes\MK\chatgpt\pronmpts_output\CrystalFruit_ASMR_Prompts_Veo (1).md,unchanged,crystal slice side macro top,,crystal slice side macro top veo angle asmr blueberry cluster,crystal slice side macro top
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_prompts 1.md,unchanged,crystal structure food surface green,,crystal structure food surface green light interior outward glass sliced,crystal structure food surface green
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_v2_all_1to10.md,unchanged,structure loop core light green,,structure loop core light green camera glowing lighting material shell,structure loop core light green
notes\MK\chatgpt\Sora_prompt_output\sora_crystal_fruits_prompts.md,unchanged,loop crystal fruit animation camera,,loop crystal fruit animation camera first fragments frame identical macro,loop crystal fruit animation camera
notes\MK\chatgpt\Sora_prompt_output\sora_mechanical_mineral_fruits.md,unchanged,loop animation camera first fragments,,loop animation camera first fragments frame fruit identical macro tiktok,loop animation camera first fragments
notes\MK\chatgpt\Template\prompt-eval-template.md,unchanged,プロンプト スコア improvement needs ver,,プロンプト スコア improvement needs ver well worked アイデア テンプレート プロンプト内容,プロンプト スコア improvement needs ver
notes\MK\chatgpt\Template\Sora用映像生成プロンプトテンプレート（英語）.md,unchanged,loop crystal fruit light blade,,loop crystal fruit light blade camera chime must sora プレート,loop crystal fruit light blade
notes\MK\chatgpt\Template\Veo用映像生成プロンプトテンプレート（英語）.md,unchanged,loop light crystal lighting surface,,loop light crystal lighting surface veo visual プレート プロンプトテンプレート 用映像生成プロンプトテン,loop light crystal lighting surface
notes\MK\Clippings\2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）.md,unchanged,comments モデル llm プロンプト rag,comments,モデル llm プロンプト rag エージェント transformer テキスト プロンプトエンジニアリング エンジニア ユーザ,comments モデル llm プロンプト rag
notes\MK\Clippings\ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話.md,unchanged,globalnav footer amazonセール ライフハッカー chatgpt,globalnav footer amazonセール,ライフハッカー chatgpt ジャパン buy ネガティブ プロセス amazon 記事 image images,globalnav footer amazonセール ライフハッカー chatgpt
notes\MK\Clippings\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,unchanged,claude code gemini hooks cli,,claude code gemini hooks cli パイプライン ファイル コマンド vimmer ではなく,claude code gemini hooks cli
notes\MK\Clippings\Codex CLIを使いこなすための機能・設定まとめ.md,unchanged,codex cli code claude ファイル,,codex cli code claude ファイル mcp config toml openai chatgpt,codex cli code claude ファイル
notes\MK\Clippings\FF14総合分析と戦略考察.md,unchanged,プレイヤー ff14 アクセス ゲーム コミュニティ,,プレイヤー ff14 アクセス ゲーム コミュニティ xiv wow コンテンツ fantasy final,プレイヤー ff14 アクセス ゲーム コミュニティ
notes\MK\Clippings\Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,unchanged,cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena,"cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena appendix fn1"">1</a></sup fn2"">2</a></sup fn3"">3</a></sup fn4"">4</a></sup fn5"">5</a></sup !/usr/bin/env",models openai claude model redacted simulated behavior auditor use evaluations,cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena
notes\MK\Clippings\Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,unchanged,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy jailbreaking hallucination examples-of-grader-errors jailbreak-evaluations,models openai model prompt opus reasoning sonnet system instructions evaluations,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy
"notes\MK\Clippings\GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md",unchanged,gemini claude ウェブ gpt-5 google,,gemini claude ウェブ gpt-5 google api gpt コーディング モデル chatgpt,gemini claude ウェブ gpt-5 google
notes\MK\Clippings\kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,unchanged,kindle unlimited obsidian tomo ストック,,kindle unlimited obsidian tomo ストック ビジネススキル st-note author created description,kindle unlimited obsidian tomo ストック
notes\MK\Clippings\MOD文化とMODツールの使用について.md,unchanged,ツール mod ゲーム キャラクター プレイヤー,,ツール mod ゲーム キャラクター プレイヤー アイテム ffxiv gaia サービス コンテンツ,ツール mod ゲーム キャラクター プレイヤー
notes\MK\Clippings\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,unchanged,claude code mcp api discussion,,claude code mcp api discussion global コーディング zenn chatgpt env,claude code mcp api discussion
notes\MK\Clippings\Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,unchanged,obsidian cursor メモ ノート web,,obsidian cursor メモ ノート web shin アウトプット ネットワーク フロー zettelkasten,obsidian cursor メモ ノート web
notes\MK\Clippings\Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,unchanged,obsidian ノート フォルダ ワタシ タグ,,obsidian ノート フォルダ ワタシ タグ リンク データ kindle dropbox アナタ,obsidian ノート フォルダ ワタシ タグ
notes\MK\Clippings\RTA in Japan 2025年夏.md,unchanged,font tbody シングル パソコン プレイステーション,,font tbody シングル パソコン プレイステーション sfc rta スイッチ colspan japan,font tbody シングル パソコン プレイステーション
notes\MK\Clippings\「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,unchanged,チーム ログ プロジェクト ストレス パターン,,チーム ログ プロジェクト ストレス パターン フレームワーク api テスト after before,チーム ログ プロジェクト ストレス パターン
notes\MK\Clippings\【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,unchanged,notion composer smart プラグイン obsidian,,notion composer smart プラグイン obsidian gemini google instagram kurashi-notion twitter,notion composer smart プラグイン obsidian
notes\MK\Clippings\【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,unchanged,obsidian cursor ファイル フォルダ ツール,,obsidian cursor ファイル フォルダ ツール コード vault コンテンツ リンク chatgpt,obsidian cursor ファイル フォルダ ツール
notes\MK\Clippings\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,unchanged,gemini cli obsidian ツール ノート,,gemini cli obsidian ツール ノート ターミナル cursor テンプレート ファイル google,gemini cli obsidian ツール ノート
notes\MK\Clippings\【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,updated,iframe spotify suno distrokid height,,iframe spotify height suno distrokid lazy loading src style width,iframe spotify height suno distrokid
notes\MK\Clippings\【必見】改良版まじん式プロンプト！｜まじん.md,updated,まじん式プロンプト プロンプト ff0000」(赤)を指定して スライド カスタム,ff0000」(赤)を指定して,スライド プロンプト カスタム gemini google パターン エラー スライドパターン ファイル pro,ff0000」(赤)を指定して スライド プロンプト カスタム gemini
notes\MK\Clippings\もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,unchanged,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm canvas abematv-%e3%81%ae%e3%83%a6%e3%83%bc%e3%82%b9%e3%82%b1%e3%83%bc%e3%82%b9%e3%81%94%e7%b4%b9%e4%bb%8b %e6%a6%82%e8%a6%81-1 %e6%96%87%e7%ab%a0%e4%bd%9c%e6%88%90 %e8%aa%bf%e6%9f%bb%e6%a5%ad%e5%8b%99 %e7%a4%be%e5%86%85%e3%83%87%e3%83%bc%e3%82%bf%e6%b4%bb%e7%94%a8 %e9%96%a2%e9%80%a3%e8%a8%98%e4%ba%8b,notebooklm deep google research canvas cloud next tokyo abematv データ,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm
notes\MK\Clippings\個人開発で月20万円を目指すための考え方.md,unchanged,comments アプリ ユーザー レビュー リリース,comments,アプリ ユーザー レビュー リリース デザイン スピード プレミアムプラン app store トレ,comments アプリ ユーザー レビュー リリース
notes\MK\Clippings\先輩社員がどうやって不具合を解決しているのか 1.md,unchanged,comments スロー デバッガ スタックトレース jjugccc2024,comments,スロー デバッガ スタックトレース jjugccc2024 デバッグ ブレークポイント エラー システム caused image,comments スロー デバッガ スタックトレース jjugccc2024
notes\MK\Clippings\新Codex CLIの使い方.md,unchanged,codex cli api モデル mcp,,codex cli api モデル mcp クロード コード openai chatgpt サブスクリプション,codex cli api モデル mcp
notes\MK\Clippings\角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,unchanged,f1-gate オランダ グランプリ チーム ドライバー,,f1-gate オランダ グランプリ チーム ドライバー ホーム author created description published,f1-gate オランダ グランプリ チーム ドライバー
notes\MK\Clippings\解像度を上げる 🔬.md,unchanged,pmconf2020 シード foundx コーザリティ スタートアップ,pmconf2020,シード foundx コーザリティ スタートアップ トゥマダ ビジネス analysis causal アプロー スライド,pmconf2020 シード foundx コーザリティ スタートアップ
notes\MK\Clippings\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,unchanged,プロジェクト obsidian wbs プロジェクトマネジメント cursor,,プロジェクト obsidian wbs プロジェクトマネジメント cursor notion エンジニア タスク フロー 駆動,プロジェクト obsidian wbs プロジェクトマネジメント cursor
notes\MK\copilot-custom-prompts\Emojify.md,unchanged,emojis text true add breaks,,emojis text true add breaks choose context copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used,emojis text true add breaks
notes\MK\copilot-custom-prompts\Explain like I am 5.md,unchanged,simple true analogies basic break,,simple true analogies basic break complex concepts copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used,simple true analogies basic break
notes\MK\copilot-custom-prompts\Fix grammar and spelling.md,updated,true add breaks characters content,,true add breaks characters copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled corrected,true add breaks characters copilot-command-context-menu-enabled
notes\MK\copilot-custom-prompts\Generate glossary.md,unchanged,false glossary alphabetically concepts copilot-command-context-menu-enabled,,false glossary alphabetically concepts copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled create,false glossary alphabetically concepts copilot-command-context-menu-enabled
notes\MK\copilot-custom-prompts\Generate table of contents.md,updated,contents false table appropriate copilot-command-context-menu-enabled,,false table appropriate copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled generate heading,false table appropriate copilot-command-context-menu-enabled copilot-command-context-menu-order
notes\MK\copilot-custom-prompts\Make longer.md,unchanged,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used,,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled details elaborating expand,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used
notes\MK\copilot-custom-prompts\Make shorter.md,unchanged,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key,,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled details elements essential half,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key
notes\MK\copilot-custom-prompts\Remove URLs.md,updated,urls false content copilot-command-context-menu-enabled copilot-command-context-menu-order,,urls false copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled formats formatting may,urls false copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used
notes\MK\copilot-custom-prompts\Rewrite as tweet thread.md,unchanged,thread end false line start,,thread end false line start characters clear convert copilot-command-context-menu-enabled copilot-command-context-menu-order,thread end false line start
notes\MK\copilot-custom-prompts\Rewrite as tweet.md,unchanged,false tweet characters concise copilot-command-context-menu-enabled,,false tweet characters concise copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled core,false tweet characters concise copilot-command-context-menu-enabled
notes\MK\copilot-custom-prompts\Simplify.md,unchanged,true ages clear common concepts,,true ages clear common concepts copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled,true ages clear common concepts
notes\MK\copilot-custom-prompts\Summarize.md,unchanged,bullet-point point summary true bullet,,bullet-point point summary true bullet capture copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key,bullet-point point summary true bullet
notes\MK\copilot-custom-prompts\Translate to Chinese.md,unchanged,true appropriate chinese context copilot-command-context-menu-enabled,,true appropriate chinese context copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled cultural,true appropriate chinese context copilot-command-context-menu-enabled
notes\MK\daily\2025-05-01.md,updated,daily tags,,daily,daily
notes\MK\daily\2025-06-29.md,updated,tiktok asmr daily mtg obisidian,,tiktok asmr mtg obisidian daily sns ショート バズ,tiktok asmr mtg obisidian daily
notes\MK\daily\2025-06-30.md,updated,chatgpt daily gpt4 tags プロンプト,,chatgpt gpt4 プロンプト daily,chatgpt gpt4 プロンプト daily
notes\MK\daily\2025-07-01.md,updated,chatgpt プロンプト daily gtp inst,,chatgpt プロンプト gtp inst daily sora suno tiktok ハイボール ビール,chatgpt プロンプト gtp inst daily
notes\MK\daily\2025-13-01.md,updated,aaaa daily tags,,aaaa daily,aaaa daily
notes\MK\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,unchanged,4285f4 ea4335 fbbc04 34a853 333333,4285f4 ea4335 fbbc04 34a853 333333 ffffff f8f9fa e8eaed f5f5f3 dadce0 9e9e9e efefed,const layout slide data config left string top area width,4285f4 ea4335 fbbc04 34a853 333333
notes\MK\iPhoneClip\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,unchanged,ノート gemini cli リンク obsidian,,ノート gemini cli リンク obsidian zettelkasten ワークフロー web アイデア メモ,ノート gemini cli リンク obsidian
notes\MK\iPhoneClip\科学的にわかってきた、運がいい人の正体.md,unchanged,calling goethe psychol career duffy,,calling goethe psychol career duffy lounge vol work エネルギー ゲーテラウンジ,calling goethe psychol career duffy
notes\MK\README.md,unchanged,agent toast windows run cli,,agent toast windows run cli menu net scheduler shortcut aumid,agent toast windows run cli
