file,current_yaml_tags,inline_tags,keywords_top,proposed_tags
notes\MK\10_research\Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena,"cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena appendix fn1"">1</a></sup fn2"">2</a></sup fn3"">3</a></sup fn4"">4</a></sup fn5"">5</a></sup !/usr/bin/env",models openai claude model redacted simulated behavior auditor use evaluations,cooperation-with-human-misuse sycophancy whistleblowing-and-leaks testbeds shade-arena
notes\MK\10_research\Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy jailbreaking hallucination examples-of-grader-errors jailbreak-evaluations,models openai model prompt opus reasoning sonnet system instructions evaluations,instruction-hierarchy)**:** jailbreaking)**:** hallucination)**:** scheming instruction-hierarchy
notes\MK\10_research\Fix grammar and spelling.md,true add breaks characters copilot-command-context-menu-enabled,,true add breaks characters copilot-command-context-menu-enabled fix grammar spelling copilot-command-context-menu-order copilot-command-last-used,true add breaks characters copilot-command-context-menu-enabled
notes\MK\10_research\Generate table of contents.md,false table appropriate copilot-command-context-menu-enabled copilot-command-context-menu-order,,table false appropriate copilot-command-context-menu-enabled copilot-command-context-menu-order generate copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled created,table false appropriate copilot-command-context-menu-enabled copilot-command-context-menu-order
"notes\MK\10_research\GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md",gemini claude ウェブ gpt-5 google,,gemini claude ウェブ gpt-5 google api gpt コーディング モデル chatgpt,gemini claude ウェブ gpt-5 google
notes\MK\10_research\kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,kindle unlimited obsidian tomo ストック,,kindle unlimited obsidian tomo ストック ビジネススキル st-note author created description,kindle unlimited obsidian tomo ストック
notes\MK\10_research\Make longer.md,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used,,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled created details elaborating,true adding copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used
notes\MK\10_research\Make shorter.md,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key,,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled created details elements essential,true copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key
notes\MK\10_research\MOD文化とMODツールの使用について.md,ツール mod ゲーム キャラクター プレイヤー,,ツール mod ゲーム キャラクター プレイヤー アイテム ffxiv gaia サービス コンテンツ,ツール mod ゲーム キャラクター プレイヤー
notes\MK\10_research\Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,obsidian cursor メモ ノート web,,obsidian cursor メモ ノート web shin アウトプット ネットワーク フロー zettelkasten,obsidian cursor メモ ノート web
notes\MK\10_research\Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,obsidian ノート フォルダ ワタシ タグ,,obsidian ノート フォルダ ワタシ タグ リンク データ kindle dropbox アナタ,obsidian ノート フォルダ ワタシ タグ
notes\MK\10_research\Rewrite as tweet thread.md,thread end false line start,,thread end false line start tweet characters clear convert copilot-command-context-menu-enabled,thread end false line start
notes\MK\10_research\Rewrite as tweet.md,false tweet characters concise copilot-command-context-menu-enabled,,tweet false characters concise copilot-command-context-menu-enabled rewrite copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled,tweet false characters concise copilot-command-context-menu-enabled
notes\MK\10_research\RTA in Japan 2025年夏.md,font tbody シングル パソコン プレイステーション,,font tbody シングル パソコン プレイステーション sfc rta スイッチ colspan japan,font tbody シングル パソコン プレイステーション
notes\MK\10_research\Simplify.md,true ages clear common concepts,,true ages clear common concepts simplify copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key,true ages clear common concepts
notes\MK\10_research\SNSショート動画バズり徹底分析.md,asmr,,asmr created sns status ショート バズ,asmr created sns status ショート
notes\MK\10_research\Sora用映像生成プロンプトテンプレート（英語）.md,loop crystal fruit light blade,,loop crystal fruit light blade sora プロンプトテンプレート camera chime must,loop crystal fruit light blade
notes\MK\10_research\Summarize.md,bullet-point point summary true bullet,,bullet-point point summary true bullet capture copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key,bullet-point point summary true bullet
notes\MK\10_research\TikTok ASMR動画企画.md,音フェチ asmr satisfying aiart veo,音フェチ asmr satisfying aiart veo oddlysatisfying geode crystal asmrsounds 癒し 機械式時計 watchmaking steampunk mechanical asmrmechanics ファンタジー fantasy alchemy storytellingasmr ポーション slime fractal visualasmr スライム リラックス 職人技 blacksmith lava forging 飯テロ ではない bioluminescence nature relaxing 睡眠用bgm 書道 zen calligraphy meditation wabisabi 怖い話 horror haunted creepy ホラー 不気味 interactive どっち コメントで教えて 禅 zengarden minimalism 枯山水 瞑想 viral geodecutting 睡眠用 interactiveasmr 音フェチしてみた,asmr プロンプト tiktok sound veo video コンセプト shot satisfying フェチ,音フェチ asmr satisfying aiart veo
notes\MK\10_research\Translate to Chinese.md,true appropriate chinese context copilot-command-context-menu-enabled,,chinese true appropriate context copilot-command-context-menu-enabled translate copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled,chinese true appropriate context copilot-command-context-menu-enabled
notes\MK\10_research\Veo用映像生成プロンプトテンプレート（英語）.md,loop light crystal lighting surface,,loop light crystal lighting surface veo プロンプトテンプレート visual プレート 用映像生成プロンプトテン,loop light crystal lighting surface
notes\MK\10_research\「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,チーム ログ プロジェクト ストレス パターン,,チーム ログ プロジェクト ストレス パターン フレームワーク api テスト after before,チーム ログ プロジェクト ストレス パターン
notes\MK\10_research\【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,notion composer smart プラグイン obsidian,,notion composer smart プラグイン obsidian gemini google instagram kurashi-notion twitter,notion composer smart プラグイン obsidian
notes\MK\10_research\【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,obsidian cursor ファイル フォルダ ツール,,obsidian cursor ファイル フォルダ ツール コード vault コンテンツ リンク chatgpt,obsidian cursor ファイル フォルダ ツール
notes\MK\10_research\【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,iframe spotify height suno distrokid,,iframe spotify height suno distrokid lazy loading src style width,iframe spotify height suno distrokid
notes\MK\10_research\【必見】改良版まじん式プロンプト！｜まじん.md,,ff0000」(赤)を指定して,スライド プロンプト カスタム gemini google パターン エラー スライドパターン ファイル pro,ff0000」(赤)を指定して スライド プロンプト カスタム gemini
notes\MK\10_research\もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm canvas abematv-%e3%81%ae%e3%83%a6%e3%83%bc%e3%82%b9%e3%82%b1%e3%83%bc%e3%82%b9%e3%81%94%e7%b4%b9%e4%bb%8b %e6%a6%82%e8%a6%81-1 %e6%96%87%e7%ab%a0%e4%bd%9c%e6%88%90 %e8%aa%bf%e6%9f%bb%e6%a5%ad%e5%8b%99 %e7%a4%be%e5%86%85%e3%83%87%e3%83%bc%e3%82%bf%e6%b4%bb%e7%94%a8 %e9%96%a2%e9%80%a3%e8%a8%98%e4%ba%8b,notebooklm deep google research canvas cloud next tokyo abematv データ,%e3%82%bb%e3%83%83%e3%82%b7%e3%83%a7%e3%83%b3%e3%81%ae%e6%a6%82%e8%a6%81 %e6%80%9d%e8%80%83%e3%82%92%e5%a4%89%e9%9d%a9%e3%81%99%e3%82%8b%e6%96%b0%e3%81%97%e3%81%84%e6%83%85%e5%a0%b1%e6%b4%bb%e7%94%a8%e3%83%af%e3%83%bc%e3%82%af%e3%83%95%e3%83%ad%e3%83%bc %e6%a6%82%e8%a6%81 deep-research notebooklm
notes\MK\10_research\ランドーズ 池袋東口駅前店 （LANDooZ）のご予約 - 池袋居酒屋  食べログ.md,seat_type_868319 seat_type_868320 seat_type_868323 average-rating-val コース,seat_type_868319 seat_type_868320 seat_type_868323 average-rating-val,コース newopen クラフトビール デザートプレート ボリューム ランドーズコース オススメ カウンター ビル プレミアム,seat_type_868319 seat_type_868320 seat_type_868323 average-rating-val コース
notes\MK\10_research\個人開発で月20万円を目指すための考え方.md,comments アプリ ユーザー レビュー リリース,comments,アプリ ユーザー レビュー リリース デザイン スピード プレミアムプラン app store トレ,comments アプリ ユーザー レビュー リリース
notes\MK\10_research\内観写真   昔ばなし 別館 （ムカシバナシ） - 池袋居酒屋  食べログ.md,average-rating-val クーポン メニュー アプリ 関連情報,average-rating-val,クーポン メニュー アプリ 関連情報 カウンター acrossring naver onelink tabelog amex,average-rating-val クーポン メニュー アプリ 関連情報
notes\MK\10_research\地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ.md,アプリ gstatic naver onelink tabelog,,アプリ gstatic naver onelink tabelog author b1f bldg created description,アプリ gstatic naver onelink tabelog
notes\MK\10_research\採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,null score ecosystem fit longevity,,null score ecosystem fit longevity offline performance portability pricing privacy,null score ecosystem fit longevity
notes\MK\10_research\日本国内SNSトレンド分析レポート.md,ナルトダンス|中国発のダンスチャレンジ。当初の音源からmrs 告白チャレンジ|illitの日本デビュー曲「almond 薬屋のひとりごと」を付けた動画の総再生回数は16億回を超え、49 000本以上の動画が投稿されています ナルトダンス ナルトダンスは、トレンドが静的なものではなく、常に進化し続けることを示す好例です,"ナルトダンス|中国発のダンスチャレンジ。当初の音源からmrs 告白チャレンジ|illitの日本デビュー曲「almond 薬屋のひとりごと」を付けた動画の総再生回数は16億回を超え、49,000本以上の動画が投稿されています ナルトダンス ナルトダンスは、トレンドが静的なものではなく、常に進化し続けることを示す好例です 父の日|6月の主要な季節イベント。感謝のメッセージに加え、ユニクロが国民的アニメの父親キャラを起用するなど、企業の大型キャンペーンが活発化した 梅雨|天気、ファッション 梅雨コーデ)、食事、健康(天気痛対策)など、多岐にわたるトピックで語られる季節のキーワード。企業アカウントも積極的に活用 ツイマンガ|xのフォーマットに最適化された短編・連載漫画。恋愛、日常コメディ、社会風刺など多様なジャンルが存在し、根強い人気を誇る 恋人の日|6月12日の記念日。父の日や梅雨に比べ知名度は低いが、マクドナルドなどがユーモアを交えた投稿を行い、企業の活用事例が見られた 父の日 梅雨 父の日キャンペーンは、幅広い世代の共感を呼びました 梅雨というキーワードは、ファッション 梅雨コーデ)、食品(梅雨を乗り切るレシピ)、健康(気圧の変化による体調不良対策)など、多様な切り口で活用され、多くの企業が自社の商品やサービスと関連付けた情報発信を行っています ツイマンガ ツイマンガや 父の日といったキーワードが示すように、ハッシュタグは依然として特定のトピックやコミュニティを繋ぐための重要な「目印」として機能しています viralのような汎用的なタグではなく、 valorantや 僕ヤバのように、特定のコミュニティに響くタグを戦略的に使用することで、そのコミュニティ内での発見と会話を促進すべきです カフェ巡り|日本のinstagramにおける鉄板ライフスタイルコンテンツ。 東京カフェ おしゃれカフェ 梅雨コーデ|季節感のあるファッション投稿。レインブーツや撥水性のあるアウターなど、機能性とデザイン性を両立させたコーディネートが中心。雨の日の憂鬱さを払拭するような明るい投稿が好まれる カフェ巡り カフェ巡りは、単なるハッシュタグではなく、instagram上に確立された一つの文化です カフェを筆頭に、 東京カフェ(415万件)、 おしゃれカフェ(207万件)など、無数の関連タグが存在し、ユーザーはこれらのタグを辿って次に行くべきカフェを探しています 梅雨コーデ 梅雨コーデの投稿では、レインブーツや傘といったアイテムだけでなく、雨の日の湿った空気感や、少し物憂げな雰囲気といった「ムード」全体を写真や動画で表現することが求められます 紫陽花」といったフックとなる文章を添えます 父の日や 恋人の日といった先の季節イベントに対して、どのようなキャンペーンを仕掛けているかを観察し、アイデアのヒントを得ます 梅雨コーデが提案する実用性であれ、視聴者にとって「面白い」「役に立つ」「感動する」といった具体的な価値を提供するコンテンツは、アルゴリズムの変動を超えて支持され続けます",トレンド コンテンツ tiktok プラットフォーム instagram リール クリエイター ハッシュタグ カフェ ユーザー,"ナルトダンス|中国発のダンスチャレンジ。当初の音源からmrs 告白チャレンジ|illitの日本デビュー曲「almond 薬屋のひとりごと」を付けた動画の総再生回数は16億回を超え、49,000本以上の動画が投稿されています ナルトダンス ナルトダンスは、トレンドが静的なものではなく、常に進化し続けることを示す好例です"
notes\MK\10_research\最短版プロンプト（埋め済み・コピペ用）.md,エクスポート iphone windows オフライン プライバシー,,エクスポート iphone windows オフライン プライバシー ロックイン e2ee markdown notion obsidian,エクスポート iphone windows オフライン プライバシー
notes\MK\10_research\焼鶏 吉川のご予約 - 代々木焼き鳥  食べログ.md,seat_type_836088 seat_type_836089 seat_type_836090 seat_type_836093 average-rating-val,seat_type_836088 seat_type_836089 seat_type_836090 seat_type_836093 average-rating-val,カウンター tabelog seat type キーワード コスト テーブル デート dinner あったかい居酒屋さん,seat_type_836088 seat_type_836089 seat_type_836090 seat_type_836093 average-rating-val
notes\MK\10_research\科学的にわかってきた、運がいい人の正体.md,calling goethe psychol career duffy,,calling goethe psychol career duffy lounge vol work エネルギー ゲーテラウンジ,calling goethe psychol career duffy
notes\MK\10_research\角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,f1-gate オランダ グランプリ チーム ドライバー,,f1-gate オランダ グランプリ チーム ドライバー ホーム author created description published,f1-gate オランダ グランプリ チーム ドライバー
notes\MK\10_research\解像度を上げる 🔬.md,pmconf2020 シード foundx コーザリティ スタートアップ,pmconf2020,シード foundx コーザリティ スタートアップ トゥマダ ビジネス analysis causal アプロー スライド,pmconf2020 シード foundx コーザリティ スタートアップ
notes\MK\10_research\詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,name weight オフライン jpy エクスポート,,name weight オフライン jpy エクスポート エコシステム プライバシー メモ ロックイン have,name weight オフライン jpy エクスポート
notes\MK\10_research\調査チェックリスト.md,notion obsidian チェックリスト 個人向け 固有の確認観点,,notion obsidian チェックリスト 個人向け 固有の確認観点 調査チェックリスト markdown web エクスポート オフライン,notion obsidian チェックリスト 個人向け 固有の確認観点
notes\MK\20_notes\90kg→70kg_減量計画.md,フェーズ week トレ プラン kcal,,フェーズ week トレ プラン kcal ウォーキング サポート モデル モデルのリフレクション リフレクション,フェーズ week トレ プラン kcal
notes\MK\20_notes\ASMR改良版プロンプト.md,glass-like close-up loop asmr blade,,glass-like asmr close-up loop blade プロンプト through crack extreme glass,glass-like asmr close-up loop blade
notes\MK\20_notes\ASMR改良版プロンプト用ハッシュタグ.md,asmr glassfruit satisfying oddlysatisfying relaxingsounds,"asmr glassfruit satisfying oddlysatisfying relaxingsounds 音フェチ ガラスの果物 癒し動画| tiktokasmr glassart slicing オレンジasmr 破壊音 心地よい| glasscutting satisfyingvideo fruitart ガラス細工 ブドウ asmr好きと繋がりたい| loopit""**| glassslice soothingvisuals レモンasmr 切断音 8秒ループ 無限ループ| watermelonasmr glassfruitloop 破壊と再生 果物ガラスアート 耳心地| kiwicut asmrglass 緑の果物 ガラスの快感 チル動画| shatterasmr fruitloop 可愛いけど壊れる ストロベリー動画 asmrlovers| glasspeach softcut asmr切断音 癒しの8秒 桃の世界| glasscrack asmr動画 パイナップル割ってみた ガラス切断| blueberryasmr glasspop 小さな果物 視覚快感 耳心地動画|",glass asmr タイトル ハッシュタグ テンプレート tiktok ガラス crack satisfying slice,asmr glassfruit satisfying oddlysatisfying relaxingsounds
notes\MK\20_notes\DeNAの「AIにオールイン」.md,リサーチ コード ツール dena 活用,,リサーチ コード ツール dena 活用 イラスト プロダクト ユーザー アウトプット エンジニア,リサーチ コード ツール dena 活用
notes\MK\20_notes\prompt-eval-template.md,プロンプト スコア improvement needs ver,,プロンプト スコア improvement needs ver テンプレート well worked アイデア プロンプト内容,プロンプト スコア improvement needs ver
notes\MK\20_notes\sora_mechanical_mineral_fruits.md,loop animation camera first fragments,,loop animation camera first fragments frame fruit identical macro tiktok,loop animation camera first fragments
notes\MK\20_notes\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,ストレッチ kcal メニュー week スタティックストレッチ,,ストレッチ kcal メニュー week スタティックストレッチ ストレッチプログラム ダイナミックストレッチ トレ カロリー スケジュール,ストレッチ kcal メニュー week スタティックストレッチ
notes\MK\20_notes\ダイエット計画_Kanban_Phase1_2.md.md,タスク phase ウォーキング 今週の目標 運動タスク,,タスク phase ウォーキング 今週の目標 運動タスク ガイド セット トレ モチベーション モチベーション維持,タスク phase ウォーキング 今週の目標 運動タスク
notes\MK\20_notes\ダイエット計画プロンプト_v2.md,ダイエット プラン markdown プロンプト グ最適化版,,ダイエット プラン プロンプト markdown プロンプトエンジニアリング グ最適化版 ダイエット計画プロンプト フォーマット プロファイル プロンプトエンジニアリン,ダイエット プラン プロンプト markdown プロンプトエンジニアリング
notes\MK\20_notes\出力レイアウト仕様（Markdown）.md,オフライン データコントロール バックアップ プライバシー リスク,,オフライン データコントロール バックアップ プライバシー リスク ロックイン iphone jpy windows アクション,オフライン データコントロール バックアップ プライバシー リスク
notes\MK\30_projects\README.md,agent toast windows run cli,,agent toast windows run cli net ffxiv-return-agent friendly menu scheduler,agent toast windows run cli
notes\MK\40_prompts\Crystal Fruit ASMR Prompt Collection.md,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut glassart crystallemon macroasmr fruitcutting glassslice visualloop crystalpeach glassfruit asmrmacro zencut obsidianslice glasskiwi macrosatisfying asmrart fruitloop visualchime crystalpineapple loopcut fruitglow asmrslice ringart crystalmelon watermelonasmr cuttingloop visualzen crystalorange goldenfruit macroslice zenart loopvisual crystalberry blueglassfruit loopcalm crystalstrawberry glasscutting macroloop visualsatisfying crystalfig fractalcut visualfruit asmrloop obsidianblade,crystal prompt macro タイトル ハッシュタグ chime blade fruit black cut,️⃣ crystalgrape asmrfruit satisfyingloop obsidiancut
notes\MK\40_prompts\crystal_fruit_prompts (1).md,crystal camera core loop animation,,crystal camera core loop animation macro black glowing breakdown composition,crystal camera core loop animation
notes\MK\40_prompts\cyber_crystal_food_prompts 1.md,crystal structure food surface green,,crystal structure food surface green light interior outward glass neon,crystal structure food surface green
notes\MK\40_prompts\cyber_crystal_food_v2_all_1to10.md,structure loop core light green,,structure loop core light green camera glowing lighting material shell,structure loop core light green
notes\MK\40_prompts\tiktok動画生成プロンプト1️⃣.md,perfectloopchallenge video viewer visual asmr,perfectloopchallenge,video viewer visual asmr explicit intriguing tiktok visually audio clearly,perfectloopchallenge video viewer visual asmr
notes\MK\40_prompts\TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,asmr fruitcut glassfruit slowmotion macroshot,asmr fruitcut glassfruit slowmotion macroshot glassslicing oddlysatisfying soothing zokutto mysteryfeeling fruitasmr asmrjapan satisfyingslice mysterycut,asmr tiktok タイトル glassfruit ハッシュタグ プロンプト macroshot キャプション クリスタル obsidian,asmr fruitcut glassfruit slowmotion macroshot
notes\MK\40_prompts\★Prompt Create Prompt.md,プロンプト tiktok バズ タスク でバズを狙う,,プロンプト tiktok バズ タスク でバズを狙う プロ 動画プロンプト生成用 回答例 asmr アイデア,プロンプト tiktok バズ タスク でバズを狙う
notes\MK\40_prompts\クリスタル果物切断ASMR動画生成プロンプト.md,️⃣ プロンプト アングル asmr seconds,️⃣,プロンプト アングル asmr seconds いずれか選択 への記述に含める めること タイムライン タイムライン構成 テンプレート,️⃣ プロンプト アングル asmr seconds
notes\MK\40_prompts\動画生成プロンプト(meta3).md,️⃣ テンプレート プロンプト あなたの目的 この形式で出力してくださ,️⃣,テンプレート プロンプト あなたの目的 この形式で出力してくださ に表示される情報ではあり ません コメント ユーザー ユーザー入力 ループ,️⃣ テンプレート プロンプト あなたの目的 この形式で出力してくださ
notes\MK\40_prompts\映像生成ツール向けプロンプト.md,️⃣ neonasmr satisfyingcut looptherapy macrovision,️⃣ neonasmr satisfyingcut looptherapy macrovision reversesculpture,プロンプト one ツール neon キャプション キャプション案 タイトル タイトル案 ハッシュタグ ハッシュタグ案,️⃣ neonasmr satisfyingcut looptherapy macrovision
notes\MK\40_prompts\深堀りprompt.md,2 1〜 5)完全に繰り返してください。 web クエリ,2 1〜 5)完全に繰り返してください。,web クエリ ラウンド created prompt status ギャップ コンパクト サイクル リスト,2 1〜 5)完全に繰り返してください。 web クエリ
notes\MK\50_code\ChatGPT 出力 Obsidian 保存.md,chatgpt obsidian プロンプト` プロンプト 方法,chatgpt obsidian プロンプト`,chatgpt obsidian プロンプト 方法 markdown テンプレート notion ブラウザ と連携する方法 に直接保存する拡張機能,chatgpt obsidian プロンプト` プロンプト 方法
notes\MK\50_code\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,claude code gemini hooks cli,,claude code gemini hooks cli パイプライン ファイル コマンド vimmer ではなく,claude code gemini hooks cli
notes\MK\50_code\Codex CLIを使いこなすための機能・設定まとめ.md,codex cli code claude ファイル,,codex cli code claude ファイル mcp config toml openai chatgpt,codex cli code claude ファイル
notes\MK\50_code\crystal_fruit_prompts.md,chatgpt output pronmpts,,chatgpt created crystal fruit output prompts pronmpts status,chatgpt created crystal fruit output
notes\MK\50_code\crystal_fruit_prompts_v5.md,chatgpt output pronmpts,,chatgpt created crystal lemon output pronmpts status プロンプト,chatgpt created crystal lemon output
notes\MK\50_code\Crystal_Video_Prompts_Veo.md,chatgpt output pronmpts,,chatgpt created crystal output prompts pronmpts status veo video,chatgpt created crystal output prompts
notes\MK\50_code\CrystalFruit_ASMR_Prompts_Veo (1).md,crystal slice side macro top,,crystal slice side macro top veo asmr fruit prompts angle,crystal slice side macro top
notes\MK\50_code\Dashboard.md,,,dashboard vault inlinks orphans outlinks recently unlinked untagged 無し created,dashboard vault inlinks orphans outlinks
notes\MK\50_code\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,4285f4 ea4335 fbbc04 34a853 333333,4285f4 ea4335 fbbc04 34a853 333333 ffffff f8f9fa e8eaed f5f5f3 dadce0 9e9e9e efefed,const layout slide data config left string top area width,4285f4 ea4335 fbbc04 34a853 333333
notes\MK\50_code\Gemini CLI.md,gemini cli code claude google,,gemini cli code claude google モデル コマンド ファイル assist ツール,gemini cli code claude google
notes\MK\50_code\Generate glossary.md,false glossary alphabetically concepts copilot-command-context-menu-enabled,,glossary false alphabetically concepts copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used copilot-command-model-key copilot-command-slash-enabled create,glossary false alphabetically concepts copilot-command-context-menu-enabled
notes\MK\50_code\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,claude code mcp api discussion,,claude code mcp api discussion global コーディング zenn chatgpt env,claude code mcp api discussion
notes\MK\50_code\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,ノート gemini cli リンク obsidian,,ノート gemini cli リンク obsidian zettelkasten ワークフロー web アイデア メモ,ノート gemini cli リンク obsidian
notes\MK\50_code\Remove URLs.md,urls false copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used,,urls false copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used remove copilot-command-model-key copilot-command-slash-enabled created formats,urls false copilot-command-context-menu-enabled copilot-command-context-menu-order copilot-command-last-used
notes\MK\50_code\sora_crystal_fruits_prompts.md,loop crystal fruit animation camera,,loop crystal fruit animation camera first fragments frame identical macro,loop crystal fruit animation camera
notes\MK\50_code\tiktok asmrキャプション集.md,asmr satisfying fyp glassfruit oddlysatisfying,asmr satisfying fyp glassfruit oddlysatisfying 音フェチ 癒し動画 ガラスの果物 ループ動画 grape glasscut ぶどうasmr 破壊音 チル動画,asmr satisfying ガラス oddlysatisfying fyp glassfruit grape フェチ 癒し動画 音フェチ,asmr satisfying fyp glassfruit oddlysatisfying
