file,title_or_stem,suggested_name,same_as_current,reason
notes\MK\Clippings\ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話.md,言語化することの弊害,言語化することの弊害.md,no,use-h1-title
notes\MK\Clippings\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,Claude Code HooksとGemini CLIで始めるAIパイプライン実行,Claude-Code-HooksとGemini-CLIで始めるAIパイプライン実行.md,no,use-h1-title
notes\MK\Clippings\Codex CLIを使いこなすための機能・設定まとめ.md,はじめに,はじめに.md,no,use-h1-title
notes\MK\Clippings\FF14総合分析と戦略考察.md,FF14総合分析と戦略考察,FF14総合分析と戦略考察.md,yes,use-file-stem
notes\MK\Clippings\Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,パイロットアントロピック - OpenAIアライメント評価演習からの知見,パイロットアントロピック-OpenAIアライメント評価演習からの知見.md,no,use-h1-title
notes\MK\Clippings\Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,導入,導入.md,no,use-h1-title
"notes\MK\Clippings\GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md","GPT, Gemini, Claude使い分け2025年9月初めバージョン","GPT,-Gemini,-Claude使い分け2025年9月初めバージョン.md",no,use-h1-title
notes\MK\Clippings\kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い,kindle-unlimited-+-Obsidian-が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,no,use-file-stem
notes\MK\Clippings\MOD文化とMODツールの使用について.md,トピックス,トピックス.md,no,use-h1-title
notes\MK\Clippings\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,登録方法,登録方法.md,no,use-h1-title
notes\MK\Clippings\Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,Obsidian×Cursorの活用方法：知的生産のシナジーを最大化,Obsidian×Cursorの活用方法：知的生産のシナジーを最大化.md,no,use-h1-title
notes\MK\Clippings\Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。,Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。.md,no,use-h1-title
notes\MK\Clippings\RTA in Japan 2025年夏.md,2025年夏季 日本におけるRTA,2025年夏季-日本におけるRTA.md,no,use-h1-title
notes\MK\Clippings\「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,はじめに,はじめに.md,no,use-h1-title
notes\MK\Clippings\【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！,【2025年最新】Obsidian-×-AIでメモが変わる！無料プラグイン「Smart-Composer」を徹底解説します！.md,no,use-file-stem
notes\MK\Clippings\【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説,【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説.md,no,use-h1-title
notes\MK\Clippings\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」,【Obsidianの使い方が変わる】Gemini-CLIは、あなたの思考に寄り添う「無料の執事」.md,no,use-h1-title
notes\MK\Clippings\【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,【第1弾】,【第1弾】.md,no,use-h1-title
notes\MK\Clippings\【必見】改良版まじん式プロンプト！｜まじん.md,"【必見】""改良版""まじん式プロンプト！",【必見】改良版まじん式プロンプト！.md,no,use-h1-title
notes\MK\Clippings\もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,セッションの概要,セッションの概要.md,no,use-h1-title
notes\MK\Clippings\個人開発で月20万円を目指すための考え方.md,開発したアプリ,開発したアプリ.md,no,use-h1-title
notes\MK\Clippings\先輩社員がどうやって不具合を解決しているのか 1.md,自己紹介,自己紹介.md,no,use-h1-title
notes\MK\Clippings\新Codex CLIの使い方.md,サブスクリプションの制限,サブスクリプションの制限.md,no,use-h1-title
notes\MK\Clippings\角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」,角田裕毅-F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,no,use-file-stem
notes\MK\Clippings\解像度を上げる 🔬.md,馬田隆明 / 馬田隆明,馬田隆明-馬田隆明.md,no,use-h1-title
notes\MK\Clippings\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜,非エンジニアでもできる！AI駆動PMの可能性-〜-Obsidian-×-Cursor-〜.md,no,use-h1-title
notes\MK\copilot-custom-prompts\Emojify.md,Emojify,Emojify.md,yes,use-file-stem
notes\MK\copilot-custom-prompts\Explain like I am 5.md,Explain like I am 5,Explain-like-I-am-5.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Fix grammar and spelling.md,Fix grammar and spelling,Fix-grammar-and-spelling.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Generate glossary.md,Generate glossary,Generate-glossary.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Generate table of contents.md,Generate table of contents,Generate-table-of-contents.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Make longer.md,Make longer,Make-longer.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Make shorter.md,Make shorter,Make-shorter.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Remove URLs.md,Remove URLs,Remove-URLs.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Rewrite as tweet thread.md,Rewrite as tweet thread,Rewrite-as-tweet-thread.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Rewrite as tweet.md,Rewrite as tweet,Rewrite-as-tweet.md,no,use-file-stem
notes\MK\copilot-custom-prompts\Simplify.md,Simplify,Simplify.md,yes,use-file-stem
notes\MK\copilot-custom-prompts\Summarize.md,Summarize,Summarize.md,yes,use-file-stem
notes\MK\copilot-custom-prompts\Translate to Chinese.md,Translate to Chinese,Translate-to-Chinese.md,no,use-file-stem
notes\MK\daily\2025-05-01.md,2025-05-01,2025-05-01.md,yes,use-file-stem
notes\MK\daily\2025-06-29.md,2025-06-29,2025-06-29.md,yes,use-file-stem
notes\MK\daily\2025-06-30.md,2025-06-30,2025-06-30.md,yes,use-file-stem
notes\MK\daily\2025-07-01.md,2025-07-01,2025-07-01.md,yes,use-file-stem
notes\MK\daily\2025-13-01.md,2025-13-01,2025-13-01.md,yes,use-file-stem
notes\MK\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,**1.0 PRIMARY\_OBJECTIVE — 最終目標**,1.0-PRIMARY_OBJECTIVE-—-最終目標.md,no,use-h1-title
notes\MK\iPhoneClip\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,はじめに,はじめに.md,no,use-h1-title
notes\MK\iPhoneClip\科学的にわかってきた、運がいい人の正体.md,科学が証明した「運を作る思い込み」,科学が証明した「運を作る思い込み」.md,no,use-h1-title
notes\MK\README.md,"ffxiv-return-agent (Windows 11-friendly skeleton, .NET 8)","ffxiv-return-agent-(Windows-11-friendly-skeleton,-.NET-8).md",no,use-h1-title
notes\MK\restaurant\ランドーズ 池袋東口駅前店 （LANDooZ）のご予約 - 池袋居酒屋  食べログ.md,NEW OPEN◆池袋駅1分◆肉料理や世界のクラフトビールが楽しめる大人の隠れ家。個室あり◎,NEW-OPEN◆池袋駅1分◆肉料理や世界のクラフトビールが楽しめる大人の隠れ家。個室あり◎.md,no,use-h1-title
notes\MK\restaurant\内観写真   昔ばなし 別館 （ムカシバナシ） - 池袋居酒屋  食べログ.md,店舗基本情報,店舗基本情報.md,no,use-h1-title
notes\MK\restaurant\地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ.md,地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ,地図-立喰い寿司-あきら-新橋立ち食い寿司-食べログ.md,no,use-file-stem
notes\MK\restaurant\焼鶏 吉川のご予約 - 代々木焼き鳥  食べログ.md,代々木駅1分◆すべて、手作りです！あったかい居酒屋さん！,代々木駅1分◆すべて、手作りです！あったかい居酒屋さん！.md,no,use-h1-title
notes\MK\textgenerator\configs\llm\config_6-29135137.json.md,config_6-29135137.json,config_6-29135137.json.md,yes,use-file-stem
notes\MK\減量\90kg→70kg_減量計画.md,減量計画全体概要（90kg → 70kg）,減量計画全体概要（90kg-→-70kg）.md,no,use-h1-title
notes\MK\減量\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）,ストレッチ＆有酸素メニュー詳細（90kg→70kg-減量支援）.md,no,use-h1-title
notes\MK\減量\ダイエット計画_Kanban_Phase1_2.md.md,📅 Phase 1：導入期（週1〜4）,📅-Phase-1：導入期（週1〜4）.md,no,use-h1-title
notes\MK\調査チェックリスト.md,調査チェックリスト（個人向け・Obsidian/Notion固有の確認観点）,調査チェックリスト（個人向け・ObsidianNotion固有の確認観点）.md,no,use-h1-title
